case,algo,heuristic,ok,pasos,costo,expandidos,ms
56,a*,manhattan,True,22,22.0,578,3.5189000191166997
56,a*,linear_conflict,True,22,22.0,406,5.434899998363107
56,greedy,hamming,True,26,26.0,69,0.4390999674797058
56,greedy,manhattan,True,26,26.0,66,0.49679999938234687
56,greedy,linear_conflict,True,26,26.0,41,0.7190000033006072
57,a*,hamming,True,22,22.0,5287,29.714600008446723
57,a*,manhattan,True,22,22.0,886,5.7277000159956515
57,a*,linear_conflict,True,22,22.0,400,5.794299999251962
57,greedy,hamming,True,56,56.0,584,3.0464999726973474
57,greedy,manhattan,True,40,40.0,162,1.0910999844782054
57,greedy,linear_conflict,True,44,44.0,61,1.0214000358246267
58,a*,hamming,True,24,24.0,15318,91.53650002554059
58,a*,manhattan,True,24,24.0,696,4.106100008357316
58,a*,linear_conflict,True,24,24.0,289,3.5968999727629125
58,greedy,hamming,True,166,166.0,1125,6.04639999801293
58,greedy,manhattan,True,78,78.0,435,3.03580000763759
58,greedy,linear_conflict,True,50,50.0,66,1.1525999871082604
59,a*,hamming,True,18,18.0,1432,8.208499988541007
59,a*,manhattan,True,18,18.0,387,3.0254999874159694
59,a*,linear_conflict,True,18,18.0,284,3.9964999887160957
59,greedy,hamming,True,58,58.0,205,1.1680999887175858
59,greedy,manhattan,True,22,22.0,51,0.43710001045838
59,greedy,linear_conflict,True,18,18.0,35,0.6940000457689166
60,a*,hamming,True,22,22.0,5778,35.4129999759607
60,a*,manhattan,True,22,22.0,270,2.174300025217235
60,a*,linear_conflict,True,22,22.0,181,2.4565999628975987
60,greedy,hamming,True,154,154.0,1102,5.995300016365945
60,greedy,manhattan,True,58,58.0,455,3.435299964621663
60,greedy,linear_conflict,True,42,42.0,78,1.3694999506697059
61,a*,hamming,True,22,22.0,8133,51.47659999784082
61,a*,manhattan,True,22,22.0,932,5.864500009920448
61,a*,linear_conflict,True,22,22.0,551,7.885300030466169
61,greedy,hamming,True,74,74.0,781,4.654799995478243
61,greedy,manhattan,True,30,30.0,63,0.5484999855980277
61,greedy,linear_conflict,True,34,34.0,55,0.9675000328570604
62,a*,hamming,True,24,24.0,12495,77.80710002407432
62,a*,manhattan,True,24,24.0,712,4.422099969815463
62,a*,linear_conflict,True,24,24.0,397,5.3878999897278845
62,greedy,hamming,True,52,52.0,712,3.814700001385063
62,greedy,manhattan,True,56,56.0,400,2.8597000055015087
62,greedy,linear_conflict,True,28,28.0,59,1.216100004967302
63,a*,hamming,True,20,20.0,2109,11.959300027228892
63,a*,manhattan,True,20,20.0,345,2.249400014989078
63,a*,linear_conflict,True,20,20.0,164,2.371800015680492
63,greedy,hamming,True,62,62.0,899,4.844499984756112
63,greedy,manhattan,True,62,62.0,533,3.645499993581325
63,greedy,linear_conflict,True,38,38.0,58,1.0525999823585153
64,a*,hamming,True,22,22.0,6506,39.82959996210411
64,a*,manhattan,True,22,22.0,48,0.31460000900551677
64,a*,linear_conflict,True,22,22.0,39,0.5365000106394291
64,greedy,hamming,True,84,84.0,766,3.996899991761893
64,greedy,manhattan,True,92,92.0,429,3.3628999954089522
64,greedy,linear_conflict,True,52,52.0,85,1.3428999809548259
65,a*,hamming,True,22,22.0,5112,30.672600027173758
65,a*,manhattan,True,22,22.0,212,1.3727000332437456
65,a*,linear_conflict,True,22,22.0,136,1.815499970689416
65,greedy,hamming,True,82,82.0,919,4.888599971309304
65,greedy,manhattan,True,72,72.0,540,3.641100018285215
65,greedy,linear_conflict,True,30,30.0,72,1.1496000224724412
66,a*,hamming,True,18,18.0,1121,6.492900021839887
66,a*,manhattan,True,18,18.0,140,1.0334000107832253
66,a*,linear_conflict,True,18,18.0,38,0.589400005992502
66,greedy,hamming,True,106,106.0,878,4.898499988485128
66,greedy,manhattan,True,84,84.0,460,3.026299993507564
66,greedy,linear_conflict,True,18,18.0,33,0.5551999784074724
67,a*,hamming,True,22,22.0,5213,31.30630002124235
67,a*,manhattan,True,22,22.0,260,1.9848999800160527
67,a*,linear_conflict,True,22,22.0,213,2.939299971330911
67,greedy,hamming,True,96,96.0,787,4.177399969194084
67,greedy,manhattan,True,44,44.0,432,2.9195999959483743
67,greedy,linear_conflict,True,46,46.0,76,1.329899998381734
68,a*,hamming,True,26,26.0,27704,187.07960000028834
68,a*,manhattan,True,26,26.0,1333,9.04649996664375
68,a*,linear_conflict,True,26,26.0,799,11.591500020585954
68,greedy,hamming,True,66,66.0,693,3.6782000097446144
68,greedy,manhattan,True,78,78.0,223,1.7463999683968723
68,greedy,linear_conflict,True,66,66.0,146,2.4397000088356435
69,a*,hamming,True,18,18.0,959,5.654399981722236
69,a*,manhattan,True,18,18.0,137,0.9188000112771988
69,a*,linear_conflict,True,18,18.0,106,1.6448000096715987
69,greedy,hamming,True,42,42.0,395,2.2912999847903848
69,greedy,manhattan,True,64,64.0,405,3.0079999705776572
69,greedy,linear_conflict,True,30,30.0,97,1.6322999726980925
70,a*,hamming,True,26,26.0,33243,220.32110003056005
70,a*,manhattan,True,26,26.0,2021,14.34909994713962
70,a*,linear_conflict,True,26,26.0,1040,13.606199994683266
70,greedy,hamming,True,52,52.0,660,3.5617000539787114
70,greedy,manhattan,True,62,62.0,232,1.7282000044360757
70,greedy,linear_conflict,True,36,36.0,59,1.0171000030823052
71,a*,hamming,True,24,24.0,11582,72.10270001087338
71,a*,manhattan,True,24,24.0,414,2.7197000454179943
71,a*,linear_conflict,True,24,24.0,414,5.489600007422268
71,greedy,hamming,True,54,54.0,452,2.2674999781884253
71,greedy,manhattan,True,70,70.0,416,3.060299961362034
71,greedy,linear_conflict,True,58,58.0,120,1.8637000466696918
72,a*,hamming,True,26,26.0,26664,174.22410001745448
72,a*,manhattan,True,26,26.0,660,4.532700055278838
72,a*,linear_conflict,True,26,26.0,373,4.649600014090538
72,greedy,hamming,True,98,98.0,634,3.346799989230931
72,greedy,manhattan,True,26,26.0,34,0.3218000056222081
72,greedy,linear_conflict,True,26,26.0,34,0.5742000066675246
73,a*,hamming,True,22,22.0,4927,29.367699986323714
73,a*,manhattan,True,22,22.0,179,1.0849000536836684
73,a*,linear_conflict,True,22,22.0,79,1.0298999841324985
73,greedy,hamming,True,94,94.0,754,4.138900025282055
73,greedy,manhattan,True,48,48.0,432,2.826099982485175
73,greedy,linear_conflict,True,36,36.0,83,1.3444000505842268
74,a*,hamming,True,26,26.0,33722,220.5573000246659
74,a*,manhattan,True,26,26.0,2880,20.166800008155406
74,a*,linear_conflict,True,26,26.0,1475,20.069099962711334
74,greedy,hamming,True,74,74.0,539,3.0673000146634877
74,greedy,manhattan,True,40,40.0,217,1.552900008391589
74,greedy,linear_conflict,True,36,36.0,50,0.8815000182949007
75,a*,hamming,True,24,24.0,12437,80.171599984169
75,a*,manhattan,True,24,24.0,729,4.785500001162291
75,a*,linear_conflict,True,24,24.0,425,5.957300018053502
